destination,original,global_rank,domestic_rank,reach_rank
mail.google.com,gmail.com,1,1,1
www.jne.co.id,www.jne.co.id,8413,134,8597
www.droneindonesia.com,www.droneindonesia.com/shop,1814409,36442,2011667
drive.google.com,drive.google.com,1,1,1
www.serbamurahonline.com,serbamurahonline.com,6923525,-,5898758
www.yahoo.com,yahoo.com,5,5,5
lexoir.com,lexoir.com,3731582,-,3972757
ecs7.tokopedia.net,ecs7.tokopedia.net,29457,530,24807
postimage.org,s32.postimg.org,9006,3284,7145
www.facebook.com,www.facebook.com,3,2,2
shopee.co.id,shopee.co.id/beetlegarage,40767,529,52290
agrabutik.com,agrabutik.com,-,-,-
kiosindo.com,www.kiosindo.com,5543832,-,4631360
goo.gl,goo.gl,898,347,633
07.no,gan.no,629512,2300,718554
youtu.be,youtu.be,22568,-,15908
rimastech.com,rimastech.com,1372316,-,1906794
loop.co.id,loop.co.id,66762,951,63786
www.ptncs.co.id,www.ptncs.co.id,3147147,-,2924786
www.mataharimall.com,mataharimall.com,4137,48,4152
www.wahana.com,www.wahana.com,40474,664,57421
tinypic.com,oi66.tinypic.com,2236,3103,1863
www.youtube.com,www.youtube.com,2,3,3
www.blibli.com,blibli.com,5835,76,6574
bandungjersey.com,www.bandungjersey.com/topi-2/,6698740,92030,6180301
www.jaksa.si,jaksa.si,4437655,-,5158030
www.iezvu.com,iezvu.com,15796,4075,18239
mutiara-prakarsa.com,mutiara-prakarsa.com,-,-,-
www.bukalapak.com,www.bukalapak.com,387,13,659
www.pusatjamtanganmurah.com,www.pusatjamtanganmurah.com/cekresi,8484493,-,9705594
www.instagram.com,www.instagram.com,23,19,21
tiki-online.com,tiki-online.com,57074,914,53066
www.mamahziezie.id,mamahziezie.id,-,-,-
chaxun.mi.com,chaxun.xiaomi.com,428,86,475
salmanmn8.blogspot.com,salmanmn8.blogspot.com,-,-,-
www.xbitlabs.com,www.xbitlabs.com,159215,-,137823
www.cekresi.com,www.cekresi.com,38292,647,28704
m.bukalapak.com,m.bukalapak.com,387,13,659
ibin.co,ibin.co,1085920,-,915486
theme-id.com,theme-id.com/theme/wp-agen-theme,64548,1557,68993
enter.id,enter.id,183986,2975,223049
www.google.com,www.google.com,1,1,1
www.kaskus.co.id,bit.ly/wellyerskaskusfjb,316,10,350
exspedisincs.weebly.com,exspedisincs.weebly.com,1773164,54403,1402724
mail.live.com,hotmail.com,11,14,9
www.tp-link.co.id,tp-link.co.id,145569,2745,154759
www1.miwifi.com,www1.miwifi.com/app_download.html,6231,592,5320
tepungsagu.com,tepungsagu.com,1766062,63170,1631107
www.vaporfi.com,www.vaporfi.com,54758,18712,61162
www.martinmelchior.be,www.martinmelchior.be,5030306,-,4413453
areahp.com,areahp.com,5490189,-,5530973
www.posindonesia.co.id,www.posindonesia.co.id,20758,379,18763
cpro.baidu.com,aja.pink,4,1,4
gadoga.com,gadoga.com,440250,10263,350552
www.aliexpress.com,www.aliexpress.com,52,11,67
jet.co.id,jet.co.id,243846,3172,262234
k.mba,k.mba,-,-,-
b.is,b.is,27190966,-,27133413
line.me,line.me,805,161,858
phonemarket.co.id,phonemarket.co.id,5400581,-,4954284
www.klik4jovem.com,www.klik4jovem.com,3797247,48158,4025880
www.dusdusan.com,dusdusan.com,294005,7035,357937
pestadiskon.com,pestadiskon.com,2380826,36865,2232966
forum.pestadiskon.com,forum.pestadiskon.com,2380826,36865,2232966
www.sendspace.com,www.sendspace.com,2596,900,2183
www.dakotacargo.co.id,www.dakotacargo.co.id,433380,9205,404596
mba.mba,mba.mba,27433285,-,27433207
mail.ru,mail.ru,28,5,36
in.yahoo.com,yahoo.co.in,5,5,5
mail.yahoo.com,ymail.com,5,5,5
id.yahoo.com,yahoo.co.id,5,5,5
live.com,live.com,11,14,9
tri.blackberry.com,tri.blackberry.com,3102,94,3311
tokomainan.co.id,tokomainan.co.id,-,-,-
www.outlook.com,outlook.com,4438,2643,3574
au.yahoo.com,yahoo.com.au,5,5,5
bungkuz.com,bungkuz.com,-,-,-
jupistore.com,jupistore.com,-,-,-
www.68ecommerce.com,68ecommerce.com,-,-,-
fixprint.net,fixprint.net,-,-,-
uk.yahoo.com,yahoo.co.uk,5,5,5
wishcomputer.net,wishcomputer.net,-,-,-
kogara.com,kogara.com,6488867,-,6547720
creamhn.web.id,creamhn.web.id,-,-,-
abipro.co.id,abipro.co.id,5557042,-,6262176
www.ferrox.se,ferrox.com,-,-,-
www.icloud.com,icloud.com,350,193,303
gamil.com,gamil.com,46774,9426,32905
cuvox.de,cuvox.de,3354291,-,2686789
soisz.com,soisz.com,23423688,-,22380160
www.saqina.com,saqina.com,336870,6796,334448
kadae.com,kadae.com,10717703,-,9367692
www.cih168.com,cih168.com,-,-,-
malindoimaging.com,malindoimaging.com,-,-,-
sg.yahoo.com,yahoo.com.sg,5,5,5
hptocall.com,hptocall.com,-,-,-
www.klikteknik.com,klikteknik.com,-,-,-
moremall.tv,moremall.tv,5659227,-,6059475
oharaindonesia.com,oharaindonesia.com,-,-,-
innofoto.com,innofoto.co.id,1598294,-,1975905
langsungbelanja.co.id,langsungbelanja.co.id,-,-,-
promoimportir.com,promoimportir.com,14307107,-,12889214
toko-smileykids.com,toko-smileykids.com,-,-,-
tokosuplemenonlineku.com,tokosuplemenonlineku.com,4079426,-,4020387
dayrep.com,dayrep.com,1971443,220593,1544396
yuroffer.com,yuroffer.com,-,-,-
oilgas-parts.com,oilgas-parts.com,-,-,-
www.twlcosmetics.com,www.twlcosmetics.com,313682,5263,398615
vintaco.com,vintaco.com,3040775,-,3668367
w.bupak.com,w.bupak.com,-,-,-
cekresi.com,cekresi.com,38292,647,28704
fjb.m.kaskus.co.id,fjb.m.kaskus.co.id,316,10,350
hidari-shop.com,hidari-shop.com,-,-,-
i00.i.aliimg.com,i00.i.aliimg.com,10970,4585,8105
img.danawa.com,img.danawa.com,1879,29,2418
modifmotor1.com,modifmotor1.com,419005,8812,390558
outlive-shop.com,outlive-shop.com,2062119,-,2278922
pastebin.com,pastebin.com,1624,1782,1336
postimg.org,postimg.org,1503,-,1416
www.buak.com,www.buak.com,-,-,-
www.dropbox.com,www.dropbox.com,90,52,80
www.epson.co.uk,www.epson.co.uk,44069,1736,43079
www.google.co.id,www.google.co.id,68,1,83
www.mediafire.com,www.mediafire.com,176,-,147
www.drivestar.biz,www.drivestar.biz,2507055,-,2731853
www.myrcmart.com,www.myrcmart.com,196179,-,221367
www.semprotku.com,www.semprotku.com,72681,1784,114254
www.tirashop.com,www.tirashop.com,2779162,67604,2213790
www.tp-link.com,www.tp-link.com,5899,-,5801
kaospolospamulang.co.id,kaospolospamulang.co.id,3229615,-,3110823
www.pom.go.id,www.pom.go.id,62191,943,77721
www.serena-store.com,www.serena-store.com,3399199,-,3878995
fjb.kaskus.co.id,fjb.kaskus.co.id,316,10,350
www.planetdistro96.com,www.planetdistro96.com,8027409,-,8246874
www.tokopedia.com,tokopedia.com,399,11,590
www.jacketbb.com,www.jacketbb.com,-,-,-
y.mw,y.mw,-,-,-
www.rodyshop.com,rodyshop.com,9721463,-,8488671
indahcargoexpress.com,indahcargoexpress.com/ice/,4625565,-,4134202
cnindonesia.com,cnindonesia.com,1803606,-,2581598
www.moment2u.com,www.moment2u.com,732476,24178,815990
ni.no,ni.no,-,-,-
watt.ga,watt.ga,-,-,-
goolali.co.id,www.goolali.com,-,-,-
www.geforce.com,geforce.com,3339,2390,3031
www.jasapatung.com,www.jasapatung.com,4505451,-,4626177
www.atozfamilystore.com,www.atozfamilystore.com,2309684,-,2583273
facebook.com,facebook.com/sun.center.indonesia,3,2,2
www.kaspersky.com,www.kaspersky.com,1882,2864,1787
cybernusantara.com,cybernusantara.com,-,-,-
mobile.wahana.com,mobile.wahana.com,40474,664,57421
dgn.no,dgn.no,-,-,-
adf.ly,adf.ly,126,-,112
www.basenet-online.net,basenet-online.net,1370106,46787,1693153
www.bursakameraprofesional.co.id,www.bursakameraprofesional.co.id,1589582,23569,1573752
jual-mainan.com,jual-mainan.com,329893,9476,381770
materialbahanbangunan.com,materialbahanbangunan.com,9407249,-,8194802
dropship.ga,dropship.ga,-,-,-
lengkap.ga,lengkap.ga,-,-,-
uni-trend.com,uni-trend.com,424057,-,477951
play.google.com,play.google.com,1,1,1
www.lexoir.com,www.lexoir.com,3731582,-,3972757
www.sicepat.com,www.sicepat.com,219495,4444,211885
www.elinivana.com,www.elinivana.com,541115,10523,522854
www.pandulogistics.com,www.pandulogistics.com,664712,12347,684088
www.pahalaexpress.co.id,www.pahalaexpress.co.id,507330,18984,486708
unlockit.co.nz,unlockit.co.nz,364697,278469,327617
www.image.org,www.image.org,15024930,-,13623379
agri.com,agri.com,-,-,-
mahkotadewa.com,mahkotadewa.com,15816355,-,14458965
biogreenscience.com,biogreenscience.com,901100,-,1058696
sicepat.com,sicepat.com/cek-resi,219495,4444,211885
buanalautanmas.com,buanalautanmas.com,-,-,-
www.ikea.com,www.ikea.com,201,187,266
mynewblogreyhan.blogspot.co.id,mynewblogreyhan.blogspot.co.id,-,-,-
www.lazada.co.id,www.lazada.co.id,861,21,1002
www.t.glass,t.glass,-,-,-
www.dextmall.com,www.dextmall.com,1376645,29650,1683528
www.gppag.de,gpp.info,19072332,-,23186541
i.imgur.com,i.imgur.com,47,15,56
navigasi.net,navigasi.net,759246,14204,796842
ok.mba,ok.mba,-,-,-
kandangbolasports.com,kandangbolasports.com,7526010,-,6451132
www.fixheadphones.co.uk,www.fixheadphones.co.uk,3081583,-,3530135
citimami.com,citimami.com,17148948,-,18018234
pakaianonline.com,pakaianonline.com,6998920,-,5969687
www.miklor.com,www.miklor.com,208778,56766,200678
www.tiki-online.com,www.tiki-online.com,57074,914,53066
mahal.ga,mahal.ga,-,-,-
multypost.com,multypost.com,4566711,-,4323044
bisajuga.com,bisajuga.com,8758817,-,9464188
tiket.kereta-api.co.id,tiket.kereta-api.co.id,20709,229,18473
boss.no,boss.no,11167342,-,10737584
www.yahoo.co.jp,yahoo.co.jp,15,2,20
www.abadigrosir.com,www.abadigrosir.com,731902,30266,958111
en.miui.com,en.miui.com,1509,220,1722
m.ebay.co.uk,m.ebay.co.uk/itm/391284146970,121,7,161
myrcstore.com,myrcstore.com,1357123,-,1469577
jethobby.com.sg,jethobby.com.sg,1318218,10652,1614899
hi.nu,hi.nu,-,-,-
www.kangen-water.id,www.kangen-water.id,2641162,-,2665808
www.clea.asia,www.clea.asia,6698906,-,6951304
www.jet.co.id,www.jet.co.id,243846,3172,262234
antamgold.com,antamgold.com,235344,4344,212801
dealmedan.com,dealmedan.com,376607,6520,401993
www.dealmedan.com,www.dealmedan.com,376607,6520,401993
www.fitafashionstore.blogspot.com,www.fitafashionstore.blogspot.com,-,-,-
obat-kanker-ampuh.com,www.obat-kanker-ampuh.com,11842037,-,10410838
gudanghid.com,gudanghid.com,10782624,-,9424128
www.bajumurmer.com,www.bajumurmer.com,12643001,-,11230386
www.kantoralamat.net,www.kantoralamat.net,631092,14912,479152
www.bajube.com,www.bajube.com,16366210,-,15013013
umijual.com,umijual.com,-,-,-
unhcr.org,unhcr.org,24888,19143,24260
www.indonesia.com,www.indonesia.com/shop,1475941,34682,1141138
www.tokokainflanel.com,tokokainflanel.com,557894,10214,625958
www.microsoft.com,microsoft.com,39,41,27
lama.ga,lama.ga,-,-,-
pas.in,pas.in,-,-,-
www.9peng.net,pink.cm,163852,18799,194671
www.lautan-luas.com,lautan-luas.com,1095205,34705,1124944
jne.co.id,jne.co.id,8413,134,8597
yahoo.com,yaho.com,5,5,5
www.everydayhijab.com,sendaljelly.com,16926605,-,15552008
www.toserda.com,www.toserda.com,2447563,-,2086075
download.ir,www.download.ir,8120,176,7503
tdp.co.id,tdp.co.id,9615946,-,9969886
m.gsmarena.com,m.gsmarena.com,366,91,353
spinetindo.com,www.spinetindo.com,8703487,-,7537956
logaypektay.com,logaypektay.com,3327380,-,4099889
brp.kz,brp.kg,-,-,-
www.esl-express.com,www.esl-express.com,413956,11844,407579
www.juragankredit.com,www.juragankredit.com,19933970,-,21877048
www.lionparcel.com,www.lionparcel.com,2268423,-,2328077
www.shop.007.com,www.shop.007.com/spectre-polo-shirt-online-exclusive,123699,-,112821
jum.at,jum.at,-,-,-
